"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"NAS100_DukasM1_Infinox";"Buy";"2012.07.30 16:34:00";"2660.92";"0.96";"2012.08.21 19:46:00";"2775.15";"96.39";"10096.39";"IS";"TrailingStop";"-52.20";"136.31";"22d 3h 12m";""
"2";"NAS100_DukasM1_Infinox";"Buy";"2012.12.18 16:30:00";"2676.44";"1.13";"2012.12.20 16:40:00";"2683.51";"6.56";"10102.95";"IS";"TrailingStop";"-7.47";"41.75";"2d 0h 10m";""
"3";"NAS100_DukasM1_Infinox";"Buy";"2013.01.02 16:30:00";"2728.67";"0.94";"2013.01.04 17:09:00";"2720.18";"-9.19";"10093.76";"IS";"TrailingStop";"-11.63";"20.82";"2d 0h 39m";""
"4";"NAS100_DukasM1_Infinox";"Buy";"2013.02.22 22:07:00";"2732.83";"1.44";"2013.05.22 18:00:00";"3029.13";"343.97";"10437.73";"IS";"PT";"-3.10";"426.67";"88d 19h 53m";""
"5";"NAS100_DukasM1_Infinox";"Buy";"2013.06.27 16:58:00";"2916.15";"1.22";"2013.06.28 16:01:00";"2898.09";"-22.87";"10414.86";"IS";"TrailingStop";"-22.03";"9.15";"23h 3m";""
"6";"NAS100_DukasM1_Infinox";"Buy";"2013.07.23 11:47:00";"3058.90";"2.68";"2013.07.23 17:01:00";"3047.23";"-31.28";"10383.58";"IS";"TrailingStop";"-31.28";"7.65";"5h 14m";""
"7";"NAS100_DukasM1_Infinox";"Buy";"2013.07.26 20:23:00";"3065.12";"1.89";"2013.07.29 18:20:00";"3063.55";"-7.07";"10376.51";"IS";"TrailingStop";"-8.60";"33.49";"2d 21h 57m";""
"8";"NAS100_DukasM1_Infinox";"Buy";"2013.08.13 20:21:00";"3138.76";"1.92";"2013.08.14 17:47:00";"3127.63";"-22.79";"10353.72";"IS";"TrailingStop";"-21.37";"17.50";"21h 26m";""
"9";"NAS100_DukasM1_Infinox";"Buy";"2013.08.21 21:36:00";"3092.99";"1.87";"2013.08.22 19:54:00";"3083.13";"-19.80";"10333.92";"IS";"TrailingStop";"-71.56";"18.91";"22h 18m";""
"10";"NAS100_DukasM1_Infinox";"Buy";"2013.08.22 20:04:00";"3087.38";"1.47";"2013.08.27 13:16:00";"3104.40";"19.66";"10353.58";"IS";"TrailingStop";"-0.93";"60.94";"4d 17h 12m";""
"11";"NAS100_DukasM1_Infinox";"Buy";"2013.09.04 18:03:00";"3117.96";"1.87";"2013.09.06 16:43:00";"3125.76";"11.83";"10365.41";"IS";"TrailingStop";"-5.31";"50.14";"1d 22h 40m";""
"12";"NAS100_DukasM1_Infinox";"Buy";"2013.09.17 18:05:00";"3189.47";"2.35";"2013.09.20 18:58:00";"3230.23";"90.48";"10455.89";"IS";"TrailingStop";"-11.08";"135.99";"3d 0h 53m";""
"13";"NAS100_DukasM1_Infinox";"Buy";"2013.09.26 16:47:00";"3231.84";"1.85";"2013.09.26 18:05:00";"3218.43";"-24.81";"10431.08";"IS";"TrailingStop";"-24.81";"14.68";"1h 18m";""
"14";"NAS100_DukasM1_Infinox";"Buy";"2013.10.11 19:42:00";"3234.61";"1.0";"2013.10.22 23:28:00";"3361.95";"118.18";"10549.25";"IS";"TrailingStop";"-6.65";"149.73";"11d 3h 46m";""
"15";"NAS100_DukasM1_Infinox";"Buy";"2013.11.05 22:08:00";"3395.70";"1.93";"2013.11.06 17:53:00";"3378.92";"-33.93";"10515.32";"IS";"TrailingStop";"-32.39";"7.97";"19h 45m";""
"16";"NAS100_DukasM1_Infinox";"Buy";"2013.11.13 19:20:00";"3373.53";"1.98";"2013.11.18 21:47:00";"3406.05";"56.50";"10571.83";"IS";"TrailingStop";"-2.04";"109.38";"5d 2h 27m";""
"17";"NAS100_DukasM1_Infinox";"Buy";"2013.11.21 21:42:00";"3400.77";"1.88";"2013.11.29 17:19:00";"3488.30";"152.48";"10724.31";"IS";"PT";"-4.49";"164.56";"7d 19h 37m";""
"18";"NAS100_DukasM1_Infinox";"Buy";"2013.12.16 16:45:00";"3485.88";"1.68";"2013.12.16 19:13:00";"3475.19";"-17.96";"10706.35";"IS";"TrailingStop";"-17.96";"14.26";"2h 28m";""
"19";"NAS100_DukasM1_Infinox";"Buy";"2013.12.18 21:38:00";"3484.67";"1.88";"2013.12.19 15:46:00";"3496.52";"20.73";"10727.08";"IS";"TrailingStop";"-18.19";"58.47";"18h 8m";""
"20";"NAS100_DukasM1_Infinox";"Buy";"2014.01.08 17:34:00";"3572.65";"1.97";"2014.01.08 22:20:00";"3558.33";"-28.21";"10698.87";"IS";"TrailingStop";"-28.21";"4.39";"4h 46m";""
"21";"NAS100_DukasM1_Infinox";"Buy";"2014.01.14 19:43:00";"3577.98";"1.86";"2014.01.16 15:30:00";"3598.52";"35.06";"10733.93";"IS";"TrailingStop";"-14.55";"69.86";"1d 19h 47m";""
"22";"NAS100_DukasM1_Infinox";"Buy";"2014.02.13 20:40:00";"3652.41";"0.77";"2014.02.19 19:00:00";"3660.89";"2.55";"10736.47";"IS";"TrailingStop";"-9.94";"25.00";"5d 22h 20m";""
"23";"NAS100_DukasM1_Infinox";"Buy";"2014.02.21 16:49:00";"3684.32";"1.5";"2014.02.25 13:06:00";"3679.09";"-13.06";"10723.41";"IS";"TrailingStop";"-44.24";"24.81";"3d 20h 17m";""
"24";"NAS100_DukasM1_Infinox";"Buy";"2014.03.04 12:51:00";"3706.81";"1.03";"2014.03.06 20:49:00";"3715.17";"6.81";"10730.22";"IS";"TrailingStop";"-4.70";"31.22";"2d 7h 58m";""
"25";"NAS100_DukasM1_Infinox";"Buy";"2014.03.20 16:00:00";"3676.35";"1.41";"2014.03.21 15:53:00";"3690.70";"19.01";"10749.23";"IS";"TrailingStop";"-10.35";"60.59";"23h 53m";""
